metric_name	Entire Run	50918036C_HPSID_002_L1	50918124C_HPSID_004_L1	50918402C_HPSID_005_L1	50918538C_HPSID_006_L1	50918870C_HPSID_007_L1	50918871C_HPSID_008_L1	50918872C_HPSID_010_L1	50918873C_HPSID_011_L1	50919226C_HPSID_012_L1	50919228C_HPSID_013_L1	50919229C_HPSID_014_L1	50919232C_HPSID_015_L1	50919286C_HPSID_016_L1	50919291C_HPSID_017_L1	50919762C_HPSID_018_L1	50919764C_HPSID_019_L1	50919765C_HPSID_020_L1	50921887C_HPSID_021_L1	50921888C_HPSID_022_L1	50921890C_HPSID_023_L1	50921891C_HPSID_024_L1	50921894C_HPSID_025_L1	50922308C_HPSID_026_L1	50922842C_HPSID_027_L1	50922843C_HPSID_028_L1	50922845C_HPSID_029_L1	50923318C_HPSID_030_L1	50923325C_HPSID_031_L1	50923326C_HPSID_032_L1	50923328C_HPSID_033_L1	50923756C_HPSID_034_L1	50923758C_HPSID_035_L1	50923759C_HPSID_036_L1	50923760C_HPSID_037_L1	50923762C_HPSID_038_L1	50924230C_HPSID_039_L1	50924575C_HPSID_042_L1	50924582C_HPSID_043_L1	50924600C_HPSID_044_L1	50925090C_HPSID_046_L1	50925091C_HPSID_047_L1	50925093C_HPSID_048_L1	50925096C_HPSID_050_L1	50925512C_HPSID_051_L1	50925513C_HPSID_052_L1	50925514C_HPSID_053_L1
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_bases	NA	18	24	32	41	988	722	38	88	531	12	23	39	24	18	20	26	211	10	13	858	16	26	17	17	723	20	50	16	14	73	98	22	19	13	20	20	32	9	10	24	172	22	91	47	38	52
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_bases%	NA	0.00879%	0.01075%	0.01218%	0.03254%	0.31439%	0.23495%	0.02097%	0.01639%	0.31397%	0.00776%	0.02199%	0.01529%	0.01290%	0.06220%	0.01289%	0.02043%	0.10374%	0.00374%	0.00961%	0.18832%	0.02542%	0.01681%	0.02494%	0.00586%	0.21740%	0.01371%	0.01301%	0.00587%	0.01724%	0.03737%	0.04368%	0.01882%	0.15094%	0.00873%	0.02387%	0.00943%	0.01037%	0.01255%	0.02266%	0.02221%	0.10213%	0.01178%	0.05147%	0.02145%	0.01879%	0.01951%
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_bases/phred	NA	40.56	39.69	39.14	34.88	25.03	26.29	36.78	37.85	25.03	41.10	36.58	38.16	38.89	32.06	38.90	36.90	29.84	44.27	40.17	27.25	35.95	37.75	36.03	42.32	26.63	38.63	38.86	42.31	37.63	34.27	33.60	37.25	28.21	40.59	36.22	40.26	39.84	39.01	36.45	36.53	29.91	39.29	32.88	36.69	37.26	37.10
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_events	NA	18	24	28	36	835	701	28	79	514	12	16	39	23	18	20	26	211	10	12	334	16	26	17	16	700	20	46	16	14	73	92	15	19	13	20	20	32	9	10	24	166	22	50	45	37	50
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_events%	NA	0.00879%	0.01075%	0.01066%	0.02857%	0.26583%	0.22813%	0.01545%	0.01471%	0.30395%	0.00776%	0.01530%	0.01529%	0.01236%	0.06220%	0.01289%	0.02043%	0.10374%	0.00374%	0.00887%	0.07339%	0.02542%	0.01681%	0.02494%	0.00552%	0.21050%	0.01371%	0.01197%	0.00587%	0.01724%	0.03737%	0.04101%	0.01283%	0.15094%	0.00873%	0.02387%	0.00943%	0.01037%	0.01255%	0.02266%	0.02221%	0.09857%	0.01178%	0.02828%	0.02054%	0.01830%	0.01876%
alignment_metrics/deduped_autosomes/accuracy/all_errors_with_indel_events/phred	NA	40.56	39.69	39.72	35.44	25.75	26.42	38.11	38.32	25.17	41.10	38.15	38.16	39.08	32.06	38.90	36.90	29.84	44.27	40.52	31.34	35.95	37.75	36.03	42.58	26.77	38.63	39.22	42.31	37.63	34.27	33.87	38.92	28.21	40.59	36.22	40.26	39.84	39.01	36.45	36.53	30.06	39.29	35.48	36.87	37.38	37.27
alignment_metrics/deduped_autosomes/accuracy/deleted_bases	NA	1	1	6	0	23	5	12	10	22	0	10	5	2	0	0	2	0	0	0	574	0	0	0	2	30	1	10	1	0	0	12	8	0	1	0	2	0	0	0	4	3	0	50	0	1	0
alignment_metrics/deduped_autosomes/accuracy/deleted_bases%	NA	0.00049%	0.00045%	0.00228%	0.00000%	0.00732%	0.00163%	0.00662%	0.00186%	0.01301%	0.00000%	0.00956%	0.00196%	0.00108%	0.00000%	0.00000%	0.00157%	0.00000%	0.00000%	0.00000%	0.12599%	0.00000%	0.00000%	0.00000%	0.00069%	0.00902%	0.00069%	0.00260%	0.00037%	0.00000%	0.00000%	0.00535%	0.00684%	0.00000%	0.00067%	0.00000%	0.00094%	0.00000%	0.00000%	0.00000%	0.00370%	0.00178%	0.00000%	0.02828%	0.00000%	0.00049%	0.00000%
alignment_metrics/deduped_autosomes/accuracy/deleted_bases/phred	NA	53.11	53.49	46.41	93.00	41.36	47.89	41.79	47.30	38.86	93.00	40.20	47.08	49.69	93.00	93.00	48.04	93.00	93.00	93.00	29.00	93.00	93.00	93.00	51.61	40.45	51.64	45.85	54.36	93.00	93.00	42.72	41.65	93.00	51.73	93.00	50.26	93.00	93.00	93.00	44.32	47.49	93.00	35.49	93.00	53.06	93.00
alignment_metrics/deduped_autosomes/accuracy/deletion_events	NA	1	1	3	0	9	3	4	3	14	0	3	5	2	0	0	2	0	0	0	157	0	0	0	2	17	1	6	1	0	0	7	2	0	1	0	2	0	0	0	4	2	0	11	0	1	0
